#dt=0.01 mode=0 tensor_mode=shear3 branch=absolute centered=1 transform=caft Gtcut=100 tail_param=2
#raw_output=1 note=For_LJ_or_reduced_units_use_V_over_kBT;_for_LAMMPS_pressure-unit_input_use_V_over_(kBT*nktv2p)
#muF_raw=1.614 muA_raw=2 muA_stderr_raw=0.057735 muA_n=3 muA_source=tmp/mua_series.dat Ge_raw=0.386
#Time G_abs_raw
0 2
0.01 1.97112
0.02 1.94287
0.03 1.9154
0.04 1.8886
0.05 1.86241
0.06 1.83611
0.07 1.80992
0.08 1.7852
0.09 1.76072
0.1 1.73638
0.11 1.71252
0.12 1.68952
0.13 1.6671
0.14 1.64486
0.15 1.62276
0.16 1.6009
0.18 1.55667
0.2 1.51232
0.22 1.46903
0.24 1.42555
0.26 1.38344
0.28 1.34188
0.3 1.30342
0.32 1.26867
0.36 1.20225
0.4 1.13898
0.44 1.081
0.48 1.02354
0.52 0.966507
0.56 0.911852
0.6 0.85536
0.64 0.799779
0.72 0.692678
0.8 0.597819
0.88 0.525321
0.96 0.474984
1.04 0.43381
1.12 0.387778
1.2 0.335931
1.28 0.301757
1.44 0.265153
1.6 0.272279
1.76 0.309707
1.92 0.343242
2.08 0.371062
2.24 0.379283
2.4 0.402117
2.56 0.425139
2.88 0.467865
3.2 0.505849
3.52 0.548446
3.84 0.554873
4.16 0.456121
4.48 0.375752
4.8 0.378389
5.12 0.369228
5.76 0.385739
6.4 0.248571
7.04 0.164796
7.68 0.254806
8.32 0.314009
8.96 0.476335
9.6 0.426689
10.24 0.232612
11.52 0.114228
12.8 0.3805
14.08 0.160267
15.36 0.217361
16.64 0.193403
17.92 0.217658
19.2 0.248018
20.48 0.392105
23.04 0.48574
25.6 0.473277
28.16 0.528818
30.72 0.53451
33.28 0.490882
35.84 0.511527
