#dt=0.01 mode=0 tensor_mode=shear3 branch=reduced centered=1 transform=caft Gtcut=100 tail_param=2
#raw_output=1 note=For_LJ_or_reduced_units_use_V_over_kBT;_for_LAMMPS_pressure-unit_input_use_V_over_(kBT*nktv2p)
#muF_raw=1.614
#Time G_red_raw
0 1.614
0.01 1.58512
0.02 1.55687
0.03 1.5294
0.04 1.5026
0.05 1.47641
0.06 1.45011
0.07 1.42391
0.08 1.3992
0.09 1.37472
0.1 1.35038
0.11 1.32652
0.12 1.30352
0.13 1.2811
0.14 1.25886
0.15 1.23676
0.16 1.2149
0.18 1.17067
0.2 1.12632
0.22 1.08303
0.24 1.03955
0.26 0.997441
0.28 0.955878
0.3 0.917418
0.32 0.882667
0.36 0.816252
0.4 0.752975
0.44 0.695004
0.48 0.637542
0.52 0.580507
0.56 0.525852
0.6 0.46936
0.64 0.413778
0.72 0.306678
0.8 0.211818
0.88 0.139321
0.96 0.0889838
1.04 0.0478095
1.12 0.00177764
1.2 -0.0500693
1.28 -0.084243
1.44 -0.120848
1.6 -0.113721
1.76 -0.0762932
1.92 -0.0427584
2.08 -0.0149385
2.24 -0.00671715
2.4 0.0161162
2.56 0.0391385
2.88 0.081865
3.2 0.119849
3.52 0.162445
3.84 0.168872
4.16 0.0701204
4.48 -0.0102489
4.8 -0.00761123
5.12 -0.0167725
5.76 -0.000261769
6.4 -0.137429
7.04 -0.221204
7.68 -0.131195
8.32 -0.0719911
8.96 0.0903342
9.6 0.0406886
10.24 -0.153388
11.52 -0.271772
12.8 -0.00550029
14.08 -0.225733
15.36 -0.16864
16.64 -0.192597
17.92 -0.168342
19.2 -0.137983
20.48 0.00610418
23.04 0.0997392
25.6 0.0872771
28.16 0.142817
30.72 0.14851
33.28 0.104882
35.84 0.125527
