#dt=0.01 mode=0 tensor_mode=shear3 branch=absolute centered=1 transform=caft Gtcut=100 tail_param=2
#raw_output=1 trusted_time=7.68 trusted_points=61 tail_sigma=0.0479737
#scaling_note=For_LJ_or_reduced_units_use_V_over_kBT;_for_LAMMPS_pressure-unit_input_use_V_over_(kBT*nktv2p)
#note=CAFT-Bounds v1: trusted-prefix detection plus nonnegative multi-exponential tail continuation; bounds are generated from ±sigma tail envelopes on the trusted window.
#muF_raw=1.614 muA_raw=2 muA_stderr_raw=0.057735 muA_n=3 muA_source=tmp/mua_series.dat Ge_raw=0.386
#Frequency(1/time_unit) Gw_storage_abs_raw Gw_loss_raw Gw_mag_raw Gw_storage_low_raw Gw_storage_high_raw Gw_loss_low_raw Gw_loss_high_raw
0.000232515 0.386002 0.000277133 0.386002 0.386002 0.386004 0.000269801 0.000474967
0.000288631 0.386002 0.000344012 0.386002 0.386002 0.386006 0.000334899 0.000589576
0.000358291 0.386003 0.000427027 0.386003 0.386003 0.386008 0.000415694 0.000731827
0.000444763 0.386005 0.000530067 0.386005 0.386005 0.386013 0.000515958 0.000908371
0.000552104 0.386007 0.000657956 0.386008 0.386007 0.386019 0.000640365 0.00112745
0.000685351 0.386011 0.000816675 0.386012 0.386011 0.38603 0.000794691 0.00139927
0.000850757 0.386016 0.00101363 0.386018 0.386016 0.386046 0.00098606 0.00173643
0.00105608 0.386025 0.00125799 0.386027 0.386025 0.38607 0.00122323 0.00215447
0.00131096 0.386038 0.00156107 0.386041 0.386038 0.386108 0.0015169 0.00267244
0.00162736 0.386058 0.00193682 0.386063 0.386058 0.386165 0.00188006 0.00331363
0.00202011 0.386089 0.00240234 0.386097 0.386089 0.386254 0.00232824 0.00410613
0.00250766 0.386137 0.00297846 0.386149 0.386137 0.386389 0.00287969 0.00508343
0.00311287 0.38621 0.00369032 0.386228 0.38621 0.386596 0.00355515 0.00628441
0.00386414 0.386323 0.00456772 0.38635 0.386323 0.386909 0.00437711 0.00775256
0.00479673 0.386493 0.00564513 0.386534 0.386493 0.387382 0.00536805 0.00953335
0.0059544 0.386751 0.00696066 0.386814 0.386751 0.388085 0.00654738 0.0116687
0.00739147 0.387138 0.00855351 0.387232 0.387138 0.389117 0.00792722 0.0141874
0.00917536 0.387708 0.0104585 0.387849 0.387708 0.390599 0.00950776 0.0170902
0.0113898 0.388534 0.0126973 0.388741 0.388534 0.392667 0.0112748 0.0203309
0.0141387 0.389694 0.0152655 0.389992 0.389694 0.395454 0.0132029 0.0237973
0.0175509 0.391259 0.0181207 0.391679 0.391259 0.399049 0.0152653 0.0272991
0.0217868 0.393265 0.0211771 0.393835 0.392979 0.403451 0.017451 0.0305743
0.0270449 0.395668 0.024318 0.396414 0.394378 0.408504 0.019786 0.0333263
0.0335721 0.398307 0.0274328 0.399251 0.395594 0.413864 0.0223573 0.0352954
0.0416745 0.400879 0.0304772 0.402036 0.396407 0.418983 0.0253387 0.0363481
0.0517324 0.402923 0.0335539 0.404318 0.396556 0.423134 0.0290163 0.0365716
0.0642178 0.403849 0.0370076 0.405541 0.395732 0.425445 0.0338258 0.0370076
0.0797164 0.402979 0.0415245 0.405113 0.393571 0.424959 0.036534 0.0415245
0.0989556 0.399614 0.0482468 0.402516 0.389665 0.420679 0.038406 0.0497873
0.122838 0.393127 0.0589597 0.397523 0.383632 0.411645 0.0440565 0.0634747
0.152484 0.383211 0.07642 0.390757 0.375378 0.397175 0.0567299 0.0839034
0.189286 0.370581 0.104794 0.385113 0.365779 0.37764 0.0814446 0.114753
