#dt=0.01 mode=0 tensor_mode=shear3 branch=reduced centered=1 transform=caft Gtcut=100 tail_param=2
#raw_output=1 trusted_time=7.68 trusted_points=61 tail_sigma=0.0479737
#scaling_note=For_LJ_or_reduced_units_use_V_over_kBT;_for_LAMMPS_pressure-unit_input_use_V_over_(kBT*nktv2p)
#note=CAFT-Bounds v1: trusted-prefix detection plus nonnegative multi-exponential tail continuation; bounds are generated from ±sigma tail envelopes on the trusted window.
#muF_raw=1.614
#Frequency(1/time_unit) Gw_storage_red_raw Gw_loss_raw Gw_mag_raw Gw_storage_low_raw Gw_storage_high_raw Gw_loss_low_raw Gw_loss_high_raw
0.000232515 1.18273e-06 0.000277133 0.000277136 1.18273e-06 3.38059e-06 0.000269801 0.000474967
0.000288631 1.82247e-06 0.000344012 0.000344017 1.82247e-06 5.209e-06 0.000334899 0.000589576
0.000358291 2.80819e-06 0.000427027 0.000427036 2.80819e-06 8.02607e-06 0.000415694 0.000731827
0.000444763 4.32697e-06 0.000530067 0.000530085 4.32697e-06 1.23661e-05 0.000515958 0.000908371
0.000552104 6.66691e-06 0.000657956 0.00065799 6.66691e-06 1.90516e-05 0.000640365 0.00112745
0.000685351 1.02717e-05 0.000816675 0.00081674 1.02717e-05 2.93484e-05 0.000794691 0.00139927
0.000850757 1.58243e-05 0.00101363 0.00101375 1.58243e-05 4.52028e-05 0.00098606 0.00173643
0.00105608 2.43752e-05 0.00125799 0.00125823 2.43752e-05 6.96045e-05 0.00122323 0.00215447
0.00131096 3.75394e-05 0.00156107 0.00156152 3.75394e-05 0.000107137 0.0015169 0.00267244
0.00162736 5.77955e-05 0.00193682 0.00193768 5.77955e-05 0.000164811 0.00188006 0.00331363
0.00202011 8.89398e-05 0.00240234 0.00240398 8.89398e-05 0.0002533 0.00232824 0.00410613
0.00250766 0.000136768 0.00297846 0.0029816 0.000136768 0.000388762 0.00287969 0.00508343
0.00311287 0.000210084 0.00369032 0.0036963 0.000210084 0.000595416 0.00355515 0.00628441
0.00386414 0.000322157 0.00456772 0.00457907 0.000322157 0.000909051 0.00437711 0.00775256
0.00479673 0.000492749 0.00564513 0.00566659 0.000492749 0.00138143 0.00536805 0.00953335
0.0059544 0.000750752 0.00696066 0.00700103 0.000750752 0.00208506 0.00654738 0.0116687
0.00739147 0.00113721 0.00855351 0.00862878 0.00113721 0.00311693 0.00792722 0.0141874
0.00917536 0.00170789 0.0104585 0.0105971 0.00170789 0.00459827 0.00950776 0.0170902
0.0113898 0.00253339 0.0126973 0.0129475 0.00253339 0.00666627 0.0112748 0.0203309
0.0141387 0.00369313 0.0152655 0.0157059 0.00369313 0.00945312 0.0132029 0.0237973
0.0175509 0.00525885 0.0181207 0.0188684 0.00525885 0.013049 0.0152653 0.0272991
0.0217868 0.00726467 0.0211771 0.0223885 0.00697853 0.0174505 0.017451 0.0305743
0.0270449 0.00966741 0.024318 0.0261691 0.00837782 0.0225036 0.019786 0.0333263
0.0335721 0.012307 0.0274328 0.030067 0.00959364 0.0278633 0.0223573 0.0352954
0.0416745 0.0148783 0.0304772 0.033915 0.0104069 0.0329828 0.0253387 0.0363481
0.0517324 0.0169228 0.0335539 0.0375799 0.0105556 0.0371334 0.0290163 0.0365716
0.0642178 0.0178487 0.0370076 0.041087 0.00973115 0.0394447 0.0338258 0.0370076
0.0797164 0.016979 0.0415245 0.0448616 0.00757057 0.0389585 0.036534 0.0415245
0.0989556 0.0136139 0.0482468 0.0501307 0.00366453 0.0346788 0.038406 0.0497873
0.122838 0.00712616 0.0589597 0.0593888 -0.00236838 0.0256449 0.0440565 0.0634747
0.152484 -0.00278942 0.07642 0.0764708 -0.0106228 0.0111748 0.0567299 0.0839034
0.189286 -0.0154191 0.104794 0.105922 -0.0202219 -0.00836083 0.0814446 0.114753
0.234969 -0.0274138 0.149838 0.152326 -0.0296454 -0.0274138 0.125375 0.161039
0.291677 -0.0297951 0.217604 0.219635 -0.0427843 -0.0248568 0.196617 0.227776
0.362072 -0.00431878 0.308763 0.308793 -0.0265797 0.00545887 0.297924 0.314572
0.449457 0.0749714 0.404259 0.411152 0.0508565 0.0862275 0.402335 0.410079
0.557931 0.216914 0.445057 0.495103 0.205327 0.222804 0.435237 0.46702
0.692585 0.341474 0.34771 0.487347 0.335803 0.354695 0.337737 0.36874
0.859736 0.226263 0.167737 0.281657 0.215138 0.250111 0.160766 0.170568
1.06723 -0.177229 0.351421 0.393582 -0.184957 -0.173972 0.327798 0.362428
1.3248 -0.0688859 1.09658 1.09874 -0.0873863 -0.0601699 1.08911 1.1132
1.64453 0.637795 1.09096 1.26371 0.626297 0.66266 1.08963 1.09136
2.04143 0.561711 1.30484 1.42061 0.536794 0.573224 1.30394 1.30543
2.53412 1.56795 0.77354 1.74838 1.55846 1.58833 0.759269 0.780006
3.14572 1.25202 1.25957 1.77597 1.24557 1.26614 1.25001 1.28011
3.90492 1.59056 0.689733 1.73367 1.58886 1.59442 0.678395 0.714284
4.84736 1.53244 0.615526 1.65143 1.52215 1.55479 0.610414 0.626446
6.01724 1.34481 0.227114 1.36386 1.32909 1.35203 0.207821 0.236058
7.46948 1.63067 0.225504 1.64619 1.62304 1.6471 0.206816 0.234098
9.2722 1.38414 0.166799 1.39415 1.37076 1.39028 0.145789 0.17654
11.51 1.73019 0.231174 1.74556 1.72001 1.75218 0.219527 0.236528
