#dt=0.01 mode=0 tensor_mode=shear3 branch=reduced centered=1 transform=direct Gtcut=100 tail_param=2
#raw_output=1 trusted_time=7.68 trusted_points=61 tail_sigma=0.0479737
#scaling_note=For_LJ_or_reduced_units_use_V_over_kBT;_for_LAMMPS_pressure-unit_input_use_V_over_(kBT*nktv2p)
#note=Current VELA direct transform on the multi-tau grid with the legacy k-sigma confidence cutoff reinterpreted as a trusted-window detector.
#muF_raw=1.614
#Frequency(1/time_unit) Gw_storage_red_raw Gw_loss_raw Gw_mag_raw Gw_storage_low_raw Gw_storage_high_raw Gw_loss_low_raw Gw_loss_high_raw
0.0279018 0 0 0 0 0 0 0
0.0300481 -0.00101736 0.0158696 0.0159022 -0.00101736 -0.00101736 0.0158696 0.0158696
0.0325521 -0.00119285 0.0172262 0.0172675 -0.00119285 -0.00119285 0.0172262 0.0172262
0.0355114 -0.00141783 0.0188402 0.0188935 -0.00141783 -0.00141783 0.0188402 0.0188402
0.0390625 -0.00171273 0.0207938 0.0208642 -0.00171273 -0.00171273 0.0207938 0.0207938
0.0434028 -0.00210964 0.0232092 0.0233049 -0.00210964 -0.00210964 0.0232092 0.0232092
0.0488281 -0.00248955 0.0253731 0.0254949 -0.00248955 -0.00248955 0.0253731 0.0253731
0.0520833 -0.00298379 0.0280021 0.0281606 -0.00298379 -0.00298379 0.0280021 0.0280021
0.0558036 -0.00341001 0.0301296 0.0303219 -0.00341001 -0.00341001 0.0301296 0.0301296
0.0600962 -0.00393281 0.032617 0.0328533 -0.00393281 -0.00393281 0.032617 0.032617
0.0651042 -0.00458295 0.0355665 0.0358605 -0.00458295 -0.00458295 0.0355665 0.0355665
0.0710227 -0.00540396 0.0391235 0.0394949 -0.00540396 -0.00540396 0.0391235 0.0391235
0.078125 -0.00645864 0.0435025 0.0439794 -0.00645864 -0.00645864 0.0435025 0.0435025
0.0868056 -0.00783894 0.0490341 0.0496568 -0.00783894 -0.00783894 0.0490341 0.0490341
0.0976562 -0.00912419 0.0540865 0.0548507 -0.00912419 -0.00912419 0.0540865 0.0540865
0.104167 -0.0107366 0.0603686 0.0613159 -0.0107366 -0.0107366 0.0603686 0.0603686
0.111607 -0.0120656 0.0655817 0.0666824 -0.0120656 -0.0120656 0.0655817 0.0655817
0.120192 -0.0136221 0.0718113 0.0730919 -0.0136221 -0.0136221 0.0718113 0.0718113
0.130208 -0.0154418 0.0793825 0.0808704 -0.0154418 -0.0154418 0.0793825 0.0793825
0.142045 -0.0175503 0.0887685 0.0904868 -0.0175503 -0.0175503 0.0887685 0.0887685
