#dt=0.01 mode=0 tensor_mode=shear3 branch=reduced centered=1 transform=irheo Gtcut=100 tail_param=2
#raw_output=1 trusted_time=35.84 trusted_points=79 tail_sigma=0
#scaling_note=For_LJ_or_reduced_units_use_V_over_kBT;_for_LAMMPS_pressure-unit_input_use_V_over_(kBT*nktv2p)
#note=i-RheoFT baseline ported from the open RepTate G(t) application (non-oversampled viewiRheo logic).
#muF_raw=1.614
#Frequency(1/time_unit) Gw_storage_red_raw Gw_loss_raw Gw_mag_raw Gw_storage_low_raw Gw_storage_high_raw Gw_loss_low_raw Gw_loss_high_raw
0.0279018 0.0820762 -0.101159 0.130268 0.0820762 0.0820762 -0.101159 -0.101159
0.0309885 0.0723457 -0.10998 0.131642 0.0723457 0.0723457 -0.10998 -0.10998
0.0344167 0.060555 -0.118935 0.133463 0.060555 0.060555 -0.118935 -0.118935
0.0382242 0.0463301 -0.127746 0.135888 0.0463301 0.0463301 -0.127746 -0.127746
0.0424529 0.0292614 -0.136018 0.13913 0.0292614 0.0292614 -0.136018 -0.136018
0.0471494 0.00892112 -0.143192 0.14347 0.00892112 0.00892112 -0.143192 -0.143192
0.0523655 -0.0151068 -0.148504 0.14927 -0.0151068 -0.0151068 -0.148504 -0.148504
0.0581586 -0.0431744 -0.150933 0.156987 -0.0431744 -0.0431744 -0.150933 -0.150933
0.0645926 -0.0754871 -0.149153 0.167168 -0.0754871 -0.0754871 -0.149153 -0.149153
0.0717384 -0.11198 -0.141487 0.180439 -0.11198 -0.11198 -0.141487 -0.141487
0.0796747 -0.152142 -0.125893 0.197474 -0.152142 -0.152142 -0.125893 -0.125893
0.0884889 -0.194773 -0.100009 0.218948 -0.194773 -0.194773 -0.100009 -0.100009
0.0982783 -0.237689 -0.0612948 0.245465 -0.237689 -0.237689 -0.0612948 -0.0612948
0.109151 -0.277375 -0.00735071 0.277473 -0.277375 -0.277375 -0.00735071 -0.00735071
0.121226 -0.308669 0.0635203 0.315137 -0.308669 -0.308669 0.0635203 0.0635203
0.134637 -0.324595 0.151409 0.358171 -0.324595 -0.324595 0.151409 0.151409
0.149532 -0.316596 0.253516 0.405591 -0.316596 -0.316596 0.253516 0.253516
0.166074 -0.275525 0.362557 0.45537 -0.275525 -0.275525 0.362557 0.362557
0.184447 -0.193899 0.465207 0.503998 -0.193899 -0.193899 0.465207 0.465207
0.204852 -0.0698891 0.541444 0.545936 -0.0698891 -0.0698891 0.541444 0.541444
0.227514 0.0868989 0.566448 0.573074 0.0868989 0.0868989 0.566448 0.566448
0.252684 0.249263 0.517534 0.574433 0.249263 0.249263 0.517534 0.517534
0.280638 0.370377 0.388414 0.536698 0.370377 0.370377 0.388414 0.388414
0.311684 0.394904 0.208831 0.446721 0.394904 0.394904 0.208831 0.208831
0.346165 0.292635 0.0555609 0.297862 0.292635 0.292635 0.0555609 0.0555609
0.384461 0.106093 0.0251065 0.109023 0.106093 0.106093 0.0251065 0.0251065
0.426994 -0.0412067 0.151555 0.157057 -0.0412067 -0.0412067 0.151555 0.151555
0.474231 -0.0423402 0.341479 0.344094 -0.0423402 -0.0423402 0.341479 0.341479
0.526695 0.0740904 0.467128 0.472967 0.0740904 0.0740904 0.467128 0.467128
0.584962 0.240119 0.50097 0.555544 0.240119 0.240119 0.50097 0.50097
0.649676 0.407244 0.359314 0.543097 0.407244 0.407244 0.359314 0.359314
0.721548 0.247716 0.116024 0.273541 0.247716 0.247716 0.116024 0.116024
0.801372 0.00934736 0.378537 0.378652 0.00934736 0.00934736 0.378537 0.378537
0.890027 0.370657 0.432953 0.569943 0.370657 0.370657 0.432953 0.432953
0.988489 0.139442 0.0897872 0.165849 0.139442 0.139442 0.0897872 0.0897872
1.09784 -0.188593 0.272085 0.331055 -0.188593 -0.188593 0.272085 0.272085
1.2193 -0.407812 0.699121 0.809371 -0.407812 -0.407812 0.699121 0.699121
1.35419 -0.248411 1.3986 1.42049 -0.248411 -0.248411 1.3986 1.3986
1.504 0.804691 1.4983 1.70072 0.804691 0.804691 1.4983 1.4983
1.67038 0.843058 0.382949 0.925957 0.843058 0.843058 0.382949 0.382949
1.85517 -0.104161 1.20566 1.21015 -0.104161 -0.104161 1.20566 1.20566
2.06041 1.09549 1.81112 2.11666 1.09549 1.09549 1.81112 1.81112
