#dt=0.01 mode=0 tensor_mode=shear3 branch=reduced centered=1 transform=schwarzl Gtcut=100 tail_param=2
#raw_output=1 trusted_time=35.84 trusted_points=79 tail_sigma=0
#scaling_note=For_LJ_or_reduced_units_use_V_over_kBT;_for_LAMMPS_pressure-unit_input_use_V_over_(kBT*nktv2p)
#note=Schwarzl-style numerical baseline on a log-resampled time grid. This is a transparent numerical baseline, not a byte-identical reproduction of RepTate's helper library.
#muF_raw=1.614
#Frequency(1/time_unit) Gw_storage_red_raw Gw_loss_raw Gw_mag_raw Gw_storage_low_raw Gw_storage_high_raw Gw_loss_low_raw Gw_loss_high_raw
0.0279018 0.014193 0.00433536 0.0148404 0.014193 0.014193 0.00433536 0.00433536
0.0309885 0.0165248 0.00234441 0.0166903 0.0165248 0.0165248 0.00234441 0.00234441
0.0344167 0.0189218 -0.000636955 0.0189325 0.0189218 0.0189218 -0.000636955 -0.000636955
0.0382242 0.0211766 -0.00490981 0.0217384 0.0211766 0.0211766 -0.00490981 -0.00490981
0.0424529 0.0229411 -0.010821 0.0253651 0.0229411 0.0229411 -0.010821 -0.010821
0.0471494 0.0236625 -0.0187388 0.0301837 0.0236625 0.0236625 -0.0187388 -0.0187388
0.0523655 0.0225045 -0.0289975 0.0367057 0.0225045 0.0225045 -0.0289975 -0.0289975
0.0581586 0.0182572 -0.0417921 0.045606 0.0182572 0.0182572 -0.0417921 -0.0417921
0.0645926 0.00925244 -0.0569941 0.0577402 0.00925244 0.00925244 -0.0569941 -0.0569941
0.0717384 -0.00667672 -0.0738599 0.0741611 -0.00667672 -0.00667672 -0.0738599 -0.0738599
0.0796747 -0.032119 -0.0906025 0.0961272 -0.032119 -0.032119 -0.0906025 -0.0906025
0.0884889 -0.0697662 -0.10383 0.125092 -0.0697662 -0.0697662 -0.10383 -0.10383
0.0982783 -0.12167 -0.107933 0.162644 -0.12167 -0.12167 -0.107933 -0.107933
0.109151 -0.187852 -0.0946547 0.210352 -0.187852 -0.187852 -0.0946547 -0.0946547
0.121226 -0.264126 -0.0533659 0.269463 -0.264126 -0.264126 -0.0533659 -0.0533659
0.134637 -0.339288 0.0270982 0.340368 -0.339288 -0.339288 0.0270982 0.0270982
0.149532 -0.392679 0.153929 0.421771 -0.392679 -0.392679 0.153929 0.153929
0.166074 -0.39448 0.322471 0.509511 -0.39448 -0.39448 0.322471 0.322471
0.184447 -0.312742 0.506342 0.595139 -0.312742 -0.312742 0.506342 0.506342
0.204852 -0.131098 0.651551 0.664609 -0.131098 -0.131098 0.651551 0.651551
0.227514 0.124512 0.686804 0.697999 0.124512 0.124512 0.686804 0.686804
0.252684 0.366867 0.562887 0.671888 0.366867 0.366867 0.562887 0.562887
0.280638 0.471859 0.31406 0.566819 0.471859 0.471859 0.31406 0.31406
0.311684 0.373089 0.0852615 0.382707 0.373089 0.373089 0.0852615 0.0852615
0.346165 0.168878 0.0359029 0.172652 0.168878 0.168878 0.0359029 0.0359029
0.384461 0.0627445 0.142897 0.156065 0.0627445 0.0627445 0.142897 0.142897
0.426994 0.0749281 0.200469 0.214014 0.0749281 0.0749281 0.200469 0.200469
0.474231 -0.00743446 0.220094 0.220219 -0.00743446 -0.00743446 0.220094 0.220094
0.526695 -0.0517263 0.470412 0.473247 -0.0517263 -0.0517263 0.470412 0.470412
0.584962 0.305398 0.607678 0.680103 0.305398 0.305398 0.607678 0.607678
0.649676 0.439542 0.237487 0.499597 0.439542 0.439542 0.237487 0.237487
0.721548 0.15212 0.203396 0.253989 0.15212 0.15212 0.203396 0.203396
0.801372 0.127998 0.325686 0.349936 0.127998 0.127998 0.325686 0.325686
0.890027 0.259347 0.485484 0.550414 0.259347 0.259347 0.485484 0.485484
0.988489 0.214716 -0.00605707 0.214801 0.214716 0.214716 -0.00605707 -0.00605707
1.09784 -0.179529 0.405448 0.443417 -0.179529 -0.179529 0.405448 0.405448
1.2193 -0.52084 0.664067 0.843955 -0.52084 -0.52084 0.664067 0.664067
1.35419 -0.222689 1.26778 1.28719 -0.222689 -0.222689 1.26778 1.26778
1.504 0.908125 1.43021 1.69416 0.908125 0.908125 1.43021 1.43021
1.67038 0.955425 0.383333 1.02946 0.955425 0.955425 0.383333 0.383333
1.85517 0.0190136 1.14122 1.14138 0.0190136 0.0190136 1.14122 1.14122
2.06041 1.08274 1.67315 1.99293 1.08274 1.08274 1.67315 1.67315
2.28835 1.02725 0.879547 1.35235 1.02725 1.02725 0.879547 0.879547
2.54151 1.67474 0.933068 1.91712 1.67474 1.67474 0.933068 0.933068
2.82267 0.90221 0.958666 1.31644 0.90221 0.90221 0.958666 0.958666
3.13494 1.11872 0.72868 1.33511 1.11872 1.11872 0.72868 0.72868
3.48175 1.75503 1.03833 2.03918 1.75503 1.75503 1.03833 1.03833
3.86693 1.35373 0.548431 1.4606 1.35373 1.35373 0.548431 0.548431
4.29473 1.67808 0.382127 1.72103 1.67808 1.67808 0.382127 0.382127
4.76984 1.37469 0.649156 1.52025 1.37469 1.37469 0.649156 0.649156
5.29753 1.52983 0.546122 1.62438 1.52983 1.52983 0.546122 0.546122
5.88358 1.6452 0.317508 1.67556 1.6452 1.6452 0.317508 0.317508
6.53447 1.65802 0.728774 1.81112 1.65802 1.65802 0.728774 0.728774
7.25737 1.62261 0.336049 1.65704 1.62261 1.62261 0.336049 0.336049
8.06025 1.48648 0.161033 1.49517 1.48648 1.48648 0.161033 0.161033
8.95194 1.3156 0.294905 1.34825 1.3156 1.3156 0.294905 0.294905
9.94228 1.49498 0.213916 1.51021 1.49498 1.49498 0.213916 0.213916
11.0422 1.43734 0.291178 1.46654 1.43734 1.43734 0.291178 0.291178
