#dt=0.01 mode=1 tensor_mode=tensor6 branch=reduced centered=1 transform=caft Gtcut=55 tail_param=2
#raw_output=1 note=For_LJ_or_reduced_units_use_V_over_kBT;_for_LAMMPS_pressure-unit_input_use_V_over_(kBT*nktv2p)
#muF_raw=0.814075
#Time G_red_raw
0 0.814075
0.01 0.0157618
0.02 -0.0133495
0.03 -0.0214958
0.04 -0.0211852
0.05 0.00737559
0.06 0.0301257
0.07 0.00171835
0.08 0.00277331
0.09 0.0016219
0.1 0.00367654
0.11 0.00503668
0.12 -0.0163902
0.13 -0.00121779
0.14 -0.0239833
0.15 0.0257046
0.16 0.000610356
0.18 -0.00291545
0.2 0.000544224
0.22 -1.36237e-05
0.24 -0.0148656
0.26 -0.00586487
0.28 -0.00295603
0.3 -0.00947234
0.32 0.00188073
0.36 -0.000502216
0.4 -0.00579552
0.44 0.00820047
0.48 -0.0128783
0.52 -0.00214015
0.56 0.00222404
0.6 0.00323249
0.64 -0.00404049
0.72 -0.00170625
0.8 -0.00381077
0.88 -0.00011407
0.96 0.000669171
1.04 0.00748013
1.12 -0.00556833
1.2 -0.0109729
1.28 -0.00223326
1.44 -0.00296233
1.6 -0.00332351
1.76 -0.010231
1.92 -0.000333531
2.08 -0.00612849
2.24 -0.00086551
2.4 -0.00964633
2.56 0.00208575
2.88 0.00291441
3.2 0.00362474
3.52 0.00204816
3.84 -0.000760209
4.16 -0.00896639
4.48 0.00466271
