#dt=0.01 mode=1 tensor_mode=tensor6 branch=reduced centered=1 transform=caft Gtcut=55 tail_param=2
#raw_output=1 trusted_time=3.52 trusted_points=52 tail_sigma=0.00547664
#scaling_note=For_LJ_or_reduced_units_use_V_over_kBT;_for_LAMMPS_pressure-unit_input_use_V_over_(kBT*nktv2p)
#note=CAFT-Bounds v1: trusted-prefix detection plus nonnegative multi-exponential tail continuation; bounds are generated from ±sigma tail envelopes on the trusted window.
#muF_raw=0.814075
#Frequency(1/time_unit) Gw_storage_red_raw Gw_loss_raw Gw_mag_raw Gw_storage_low_raw Gw_storage_high_raw Gw_loss_low_raw Gw_loss_high_raw
0.00186012 5.6779e-05 0.000329684 0.000334538 -1.28514e-08 0.000208658 -1.82157e-06 0.00121623
0.002303 8.59437e-05 0.000402384 0.00041146 -1.96997e-08 0.000315836 -2.25529e-06 0.00148451
0.00285134 0.000129238 0.000487496 0.000504336 -3.01974e-08 0.000474941 -2.79228e-06 0.00179868
0.00353023 0.00019244 0.000584135 0.000615018 -4.62893e-08 0.000707207 -3.45713e-06 0.00215553
0.00437076 0.00028241 0.000688693 0.000744347 -7.09567e-08 0.00103785 -4.28031e-06 0.00254191
0.00541142 0.0004058 0.000793392 0.000891148 -1.0877e-07 0.00149132 -5.29953e-06 0.00292933
0.00669985 0.000566195 0.000885511 0.00105105 -1.66735e-07 0.00208082 -6.5615e-06 0.00327118
0.00829506 0.000760098 0.000949256 0.00121607 -2.55595e-07 0.00279351 -8.12411e-06 0.00350958
0.0102701 0.000975232 0.000971843 0.00137679 -3.9182e-07 0.00358434 -1.00591e-05 0.00359774
0.0127153 0.00119665 0.00094904 0.0015273 -6.00668e-07 0.00439847 -1.24554e-05 0.00352037
0.0157428 0.00141349 0.000877777 0.00166386 -9.2088e-07 0.00519604 -1.54233e-05 0.00326646
0.0194911 0.00160174 0.000753441 0.0017701 -1.4119e-06 0.00588904 -1.91e-05 0.00281944
0.0241318 0.00174014 0.000610137 0.00184401 -2.16498e-06 0.00639961 -2.36562e-05 0.00230509
0.0298775 0.0018593 0.00044927 0.00191281 -3.32031e-06 0.00684052 -2.93048e-05 0.00172912
0.0369912 0.00192578 0.000284532 0.00194669 -5.09354e-06 0.00708953 -3.63128e-05 0.00114256
0.0457986 0.00197198 0.000105648 0.00197481 -7.81694e-06 0.00726656 -4.50165e-05 0.000508561
0.056703 0.00199497 -7.16994e-05 0.00199626 -1.20039e-05 0.00736224 -0.000114115 -5.58438e-05
0.0702038 0.00199059 -0.000251347 0.0020064 -1.84509e-05 0.00736337 -0.000738093 -6.93446e-05
0.086919 0.00197499 -0.000444606 0.00202441 -2.84009e-05 0.00733265 -0.00140301 -8.62371e-05
0.107614 0.00191409 -0.000657598 0.0020239 -4.38105e-05 0.00715011 -0.00212882 -0.000107476
0.133236 0.00182671 -0.000899326 0.00203608 -6.7798e-05 0.00689317 -0.00294513 -0.00013435
0.164959 0.00166957 -0.00116979 0.00203859 -0.000105414 0.00641638 -0.00384726 -0.000168618
0.204235 0.00144895 -0.00147376 0.00206675 -0.000165014 0.00576515 -0.00484643 -0.000212641
0.252863 0.00109766 -0.00180587 0.0021133 -0.000260751 0.00473042 -0.00591508 -0.000269331
0.313068 0.000568888 -0.00213891 0.00221327 -0.000417161 0.00320581 -0.00694623 -0.000341319
0.387609 -0.000205762 -0.00241362 0.00242237 -0.000677425 0.00105551 -0.00772534 -0.000427413
0.479896 -0.00131968 -0.00254631 0.00286797 -0.00186151 -0.00111711 -0.00798892 -0.000511153
0.594157 -0.00285316 -0.00232527 0.00368068 -0.00550342 -0.00186218 -0.00712982 -0.000528674
0.735624 -0.00482782 -0.00138674 0.00502304 -0.0094648 -0.00309394 -0.00431877 -0.000290309
0.910772 -0.00701728 0.000786368 0.00706121 -0.0124934 -0.00496957 0.000673627 0.00108807
1.12762 -0.00865201 0.00478854 0.00988875 -0.0123581 -0.00726609 0.00328679 0.00880477
1.3961 -0.00807637 0.0106568 0.0133714 -0.00849032 -0.00696911 0.00864918 0.0160256
1.72851 -0.00304961 0.0163466 0.0166286 -0.00505399 0.0023106 0.0159499 0.017407
2.14006 0.00594203 0.0162603 0.017312 0.00531047 0.00763059 0.011063 0.0182038
2.6496 0.00910096 0.00655442 0.0112155 0.00365157 0.0111387 0.0060536 0.00674183
3.28046 -0.0041277 0.00274489 0.00495705 -0.00522614 -0.00119004 0.00101971 0.00735798
4.06152 -0.00769004 0.0195374 0.0209963 -0.00863874 -0.00733539 0.0141452 0.0215539
5.02855 -0.00135844 0.0168059 0.0168607 -0.00223936 0.000997469 0.0149523 0.0217624
6.22582 -0.00839301 0.0351178 0.0361068 -0.0138567 -0.00634974 0.0348464 0.0352194
7.70816 0.00340358 0.0289852 0.0291843 0.000955128 0.00431914 0.0240919 0.0308152
9.54344 0.0142161 0.0459037 0.0480546 0.0109037 0.0154547 0.0415504 0.0475318
