#dt=0.01 mode=0 tensor_mode=shear3 branch=reduced centered=1 transform=irheo Gtcut=200 tail_param=2
#raw_output=1 note=For_LJ_or_reduced_units_use_V_over_kBT;_for_LAMMPS_pressure-unit_input_use_V_over_(kBT*nktv2p)
#muF_raw=0.0121141
#Time G_red_raw
0 0.0121141
0.01 0.0118678
0.02 0.0116263
0.03 0.0113895
0.04 0.0111573
0.05 0.0109295
0.06 0.0107061
0.07 0.0104871
0.08 0.0102723
0.09 0.0100616
0.1 0.00985504
0.11 0.00965244
0.12 0.00945376
0.13 0.00925892
0.14 0.00906784
0.15 0.00888045
0.16 0.00869575
0.18 0.00833883
0.2 0.00799557
0.22 0.00766545
0.24 0.00734795
0.26 0.00704261
0.28 0.00674895
0.3 0.00646652
0.32 0.00619217
0.36 0.00567991
0.4 0.0052061
0.44 0.00476785
0.48 0.00436248
0.52 0.00398753
0.56 0.00364072
0.6 0.00331993
0.64 0.00301737
0.72 0.00248988
0.8 0.00203857
0.88 0.00165242
0.96 0.00132202
1.04 0.00103933
1.12 0.000797438
1.2 0.000590461
1.28 0.000406701
1.44 0.000127254
1.6 -7.73734e-05
1.76 -0.000227225
1.92 -0.000336971
2.08 -0.00041735
2.24 -0.000476226
2.4 -0.000519355
2.56 -0.000552295
2.88 -0.000591772
3.2 -0.000612973
3.52 -0.000624362
3.84 -0.000630482
4.16 -0.000633772
4.48 -0.000635542
4.8 -0.000636494
5.12 -0.000637058
5.76 -0.000637446
6.4 -0.000637558
7.04 -0.000637591
7.68 -0.000637601
8.32 -0.000637603
8.96 -0.000637604
9.6 -0.000637604
10.24 -0.000637605
11.52 -0.000637605
12.8 -0.000637605
14.08 -0.000637605
15.36 -0.000637605
16.64 -0.000637605
17.92 -0.000637605
