#dt=0.01 mode=0 tensor_mode=shear3 branch=reduced centered=1 transform=direct Gtcut=200 tail_param=2
#raw_output=1 trusted_time=17.92 trusted_points=71 tail_sigma=9.06493e-12
#scaling_note=For_LJ_or_reduced_units_use_V_over_kBT;_for_LAMMPS_pressure-unit_input_use_V_over_(kBT*nktv2p)
#note=Current VELA direct transform on the multi-tau grid with the legacy k-sigma confidence cutoff reinterpreted as a trusted-window detector.
#muF_raw=0.0121141
#Frequency(1/time_unit) Gw_storage_red_raw Gw_loss_raw Gw_mag_raw Gw_storage_low_raw Gw_storage_high_raw Gw_loss_low_raw Gw_loss_high_raw
0.0558036 0 0 0 0 0 0 0
0.0600962 -0.000324712 -0.000167764 0.00036549 -0.000324712 -0.000324712 -0.000167764 -0.000167764
0.0651042 -0.000374559 -0.000159461 0.00040709 -0.000374559 -0.000374559 -0.000159461 -0.000159461
0.0710227 -0.000435868 -0.000143358 0.000458838 -0.000435868 -0.000435868 -0.000143358 -0.000143358
0.078125 -0.000511865 -0.000114635 0.000524545 -0.000511865 -0.000511865 -0.000114635 -0.000114635
0.0868056 -0.000606454 -6.50999e-05 0.000609938 -0.000606454 -0.000606454 -6.50999e-05 -6.50999e-05
0.0976562 -0.000690178 -9.69561e-06 0.000690246 -0.000690178 -0.000690178 -9.69561e-06 -9.69561e-06
0.104167 -0.000788207 7.29068e-05 0.000791572 -0.000788207 -0.000788207 7.29068e-05 7.29068e-05
0.111607 -0.000862076 0.000152305 0.000875427 -0.000862076 -0.000862076 0.000152305 0.000152305
0.120192 -0.000940638 0.000256771 0.000975055 -0.000940638 -0.000940638 0.000256771 0.000256771
0.130208 -0.00102058 0.000394513 0.00109417 -0.00102058 -0.00102058 0.000394513 0.000394513
0.142045 -0.0010949 0.000576091 0.00123721 -0.0010949 -0.0010949 0.000576091 0.000576091
0.15625 -0.00114993 0.000814093 0.00140893 -0.00114993 -0.00114993 0.000814093 0.000814093
0.173611 -0.00116032 0.00112062 0.00161311 -0.00116032 -0.00116032 0.00112062 0.00112062
0.195312 -0.00112303 0.00139331 0.00178956 -0.00112303 -0.00112303 0.00139331 0.00139331
0.208333 -0.00101429 0.00170455 0.0019835 -0.00101429 -0.00101429 0.00170455 0.00170455
0.223214 -0.000879075 0.0019226 0.00211404 -0.000879075 -0.000879075 0.0019226 0.0019226
0.240385 -0.000686516 0.00212935 0.00223728 -0.000686516 -0.000686516 0.00212935 0.00212935
0.260417 -0.000433761 0.00229833 0.0023389 -0.000433761 -0.000433761 0.00229833 0.00229833
0.284091 -0.000134924 0.00239219 0.00239599 -0.000134924 -0.000134924 0.00239219 0.00239219
0.3125 0.000160296 0.00237159 0.002377 0.000160296 0.000160296 0.00237159 0.00237159
0.347222 0.00034492 0.00223114 0.00225765 0.00034492 0.00034492 0.00223114 0.00223114
0.390625 0.000346705 0.00209611 0.00212459 0.000346705 0.000346705 0.00209611 0.00209611
0.416667 0.000146477 0.00204298 0.00204822 0.000146477 0.000146477 0.00204298 0.00204298
0.446429 -9.39913e-05 0.00218556 0.00218758 -9.39913e-05 -9.39913e-05 0.00218556 0.00218556
0.480769 -0.000314939 0.00255027 0.00256964 -0.000314939 -0.000314939 0.00255027 0.00255027
0.520833 -0.000351053 0.00314545 0.00316498 -0.000351053 -0.000351053 0.00314545 0.00314545
0.568182 -1.64718e-05 0.00381606 0.00381609 -1.64718e-05 -1.64718e-05 0.00381606 0.00381606
0.625 0.000679946 0.00420422 0.00425885 0.000679946 0.000679946 0.00420422 0.00420422
0.694444 0.00125195 0.00407737 0.00426524 0.00125195 0.00125195 0.00407737 0.00407737
0.78125 0.00128806 0.00390149 0.00410862 0.00128806 0.00128806 0.00390149 0.00390149
0.833333 0.000957966 0.00425174 0.00435832 0.000957966 0.000957966 0.00425174 0.00425174
0.892857 0.00111582 0.00498203 0.00510545 0.00111582 0.00111582 0.00498203 0.00498203
0.961538 0.00185898 0.00550576 0.00581112 0.00185898 0.00185898 0.00550576 0.00550576
1.04167 0.00258621 0.00536096 0.00595218 0.00258621 0.00258621 0.00536096 0.00536096
1.13636 0.00262609 0.00524977 0.00586996 0.00262609 0.00262609 0.00524977 0.00524977
1.25 0.00292389 0.00585272 0.00654244 0.00292389 0.00292389 0.00585272 0.00585272
1.38889 0.00371278 0.00606693 0.00711283 0.00371278 0.00371278 0.00606693 0.00606693
1.5625 0.00415184 0.00606449 0.00734954 0.00415184 0.00415184 0.00606449 0.00606449
1.66667 0.00475588 0.00651658 0.00806748 0.00475588 0.00475588 0.00651658 0.00651658
1.78571 0.00530797 0.0062812 0.00822362 0.00530797 0.00530797 0.0062812 0.0062812
1.92308 0.00562671 0.00633401 0.00847228 0.00562671 0.00562671 0.00633401 0.00633401
2.08333 0.00609398 0.00637528 0.00881934 0.00609398 0.00609398 0.00637528 0.00637528
2.27273 0.00684771 0.00623741 0.00926264 0.00684771 0.00684771 0.00623741 0.00623741
2.5 0.00726082 0.00628741 0.00960474 0.00726082 0.00726082 0.00628741 0.00628741
2.77778 0.00790877 0.00595458 0.00989978 0.00790877 0.00790877 0.00595458 0.00595458
3.125 0.0084051 0.00573649 0.0101761 0.0084051 0.0084051 0.00573649 0.00573649
3.33333 0.0089985 0.00549347 0.0105428 0.0089985 0.0089985 0.00549347 0.00549347
3.57143 0.00918011 0.00542763 0.0106646 0.00918011 0.00918011 0.00542763 0.00542763
3.84615 0.00955118 0.00510758 0.0108311 0.00955118 0.00955118 0.00510758 0.00510758
4.16667 0.00995586 0.00488183 0.0110883 0.00995586 0.00995586 0.00488183 0.00488183
4.54545 0.0101266 0.00458608 0.0111166 0.0101266 0.0101266 0.00458608 0.00458608
5 0.0106307 0.00436841 0.0114933 0.0106307 0.0106307 0.00436841 0.00436841
5.55556 0.0109798 0.00418569 0.0117506 0.0109798 0.0109798 0.00418569 0.00418569
6.25 0.0112606 0.00413132 0.0119945 0.0112606 0.0112606 0.00413132 0.00413132
6.66667 0.0117436 0.00338351 0.0122213 0.0117436 0.0117436 0.00338351 0.00338351
7.14286 0.0107893 0.00278191 0.0111422 0.0107893 0.0107893 0.00278191 0.00278191
7.69231 0.0119369 0.0032765 0.0123784 0.0119369 0.0119369 0.0032765 0.0032765
8.33333 0.011522 0.00346338 0.0120312 0.011522 0.011522 0.00346338 0.00346338
