#dt=0.01 mode=0 tensor_mode=shear3 branch=reduced centered=1 transform=irheo Gtcut=200 tail_param=2
#raw_output=1 trusted_time=17.92 trusted_points=71 tail_sigma=0
#scaling_note=For_LJ_or_reduced_units_use_V_over_kBT;_for_LAMMPS_pressure-unit_input_use_V_over_(kBT*nktv2p)
#note=i-RheoFT baseline ported from the open RepTate G(t) application (non-oversampled viewiRheo logic).
#muF_raw=0.0121141
#Frequency(1/time_unit) Gw_storage_red_raw Gw_loss_raw Gw_mag_raw Gw_storage_low_raw Gw_storage_high_raw Gw_loss_low_raw Gw_loss_high_raw
0.0558036 -0.000627148 0.000364849 0.000725555 -0.000627148 -0.000627148 0.000364849 0.000364849
0.0621067 -0.000624655 0.00040598 0.000744992 -0.000624655 -0.000624655 0.00040598 0.00040598
0.0691217 -0.000621569 0.000451726 0.000768378 -0.000621569 -0.000621569 0.000451726 0.000451726
0.0769291 -0.000617747 0.000502598 0.000796377 -0.000617747 -0.000617747 0.000502598 0.000502598
0.0856184 -0.000613017 0.000559159 0.000829729 -0.000613017 -0.000613017 0.000559159 0.000559159
0.0952891 -0.000607164 0.00062203 0.000869235 -0.000607164 -0.000607164 0.00062203 0.00062203
0.106052 -0.00059992 0.000691895 0.000915763 -0.00059992 -0.00059992 0.000691895 0.000691895
0.118031 -0.000590959 0.000769501 0.00097024 -0.000590959 -0.000590959 0.000769501 0.000769501
0.131363 -0.000579877 0.000855669 0.00103365 -0.000579877 -0.000579877 0.000855669 0.000855669
0.1462 -0.000566178 0.000951288 0.00110703 -0.000566178 -0.000566178 0.000951288 0.000951288
0.162714 -0.00054925 0.00105732 0.00119147 -0.00054925 -0.00054925 0.00105732 0.00105732
0.181093 -0.000528344 0.0011748 0.00128814 -0.000528344 -0.000528344 0.0011748 0.0011748
0.201547 -0.000502545 0.00130482 0.00139825 -0.000502545 -0.000502545 0.00130482 0.00130482
0.224312 -0.000470736 0.00144854 0.00152311 -0.000470736 -0.000470736 0.00144854 0.00144854
0.249649 -0.000431557 0.00160712 0.00166406 -0.000431557 -0.000431557 0.00160712 0.00160712
0.277847 -0.000383366 0.00178176 0.00182254 -0.000383366 -0.000383366 0.00178176 0.00178176
0.30923 -0.000324187 0.00197361 0.00200006 -0.000324187 -0.000324187 0.00197361 0.00197361
0.344158 -0.00025166 0.0021837 0.00219815 -0.00025166 -0.00025166 0.0021837 0.0021837
0.383032 -0.000162993 0.00241289 0.00241839 -0.000162993 -0.000162993 0.00241289 0.00241289
0.426296 -5.49187e-05 0.00266175 0.00266231 -5.49187e-05 -5.49187e-05 0.00266175 0.00266175
0.474446 7.63283e-05 0.00293038 0.00293138 7.63283e-05 7.63283e-05 0.00293038 0.00293038
0.528036 0.00023501 0.00321831 0.00322688 0.00023501 0.00023501 0.00321831 0.00321831
0.587678 0.000425835 0.00352418 0.00354981 0.000425835 0.000425835 0.00352418 0.00352418
0.654057 0.000653838 0.0038456 0.00390079 0.000653838 0.000653838 0.0038456 0.0038456
0.727934 0.000924174 0.00417884 0.00427981 0.000924174 0.000924174 0.00417884 0.00417884
0.810156 0.00124179 0.00451863 0.00468616 0.00124179 0.00124179 0.00451863 0.00451863
0.901664 0.001611 0.004858 0.00511815 0.001611 0.001611 0.004858 0.004858
1.00351 0.00203488 0.00518823 0.00557301 0.00203488 0.00203488 0.00518823 0.00518823
1.11686 0.00251465 0.00549909 0.00604677 0.00251465 0.00251465 0.00549909 0.00549909
1.24301 0.00304903 0.00577922 0.00653421 0.00304903 0.00304903 0.00577922 0.00577922
1.38341 0.00363371 0.00601686 0.00702898 0.00363371 0.00363371 0.00601686 0.00601686
1.53966 0.00426106 0.0062009 0.00752382 0.00426106 0.00426106 0.0062009 0.0062009
1.71357 0.00492028 0.00632191 0.00801097 0.00492028 0.00492028 0.00632191 0.00632191
1.90712 0.00559792 0.00637326 0.00848264 0.00559792 0.00559792 0.00637326 0.00637326
2.12253 0.00627888 0.00635199 0.00893153 0.00627888 0.00627888 0.00635199 0.00635199
2.36228 0.00694768 0.0062592 0.00935136 0.00694768 0.00694768 0.0062592 0.0062592
2.6291 0.00758986 0.00610005 0.00973738 0.00758986 0.00758986 0.00610005 0.00610005
2.92606 0.00819326 0.00588305 0.0100866 0.00819326 0.00819326 0.00588305 0.00588305
3.25657 0.00874898 0.005619 0.010398 0.00874898 0.00874898 0.005619 0.005619
3.6244 0.00925158 0.0053196 0.0106719 0.00925158 0.00925158 0.0053196 0.0053196
4.03378 0.00969894 0.00499623 0.0109102 0.00969894 0.00969894 0.00499623 0.00499623
4.4894 0.0100912 0.00465881 0.0111147 0.0100912 0.0100912 0.00465881 0.00465881
4.99649 0.010429 0.00431668 0.0112871 0.010429 0.010429 0.00431668 0.00431668
5.56085 0.0107161 0.0039801 0.0114313 0.0107161 0.0107161 0.0039801 0.0039801
6.18895 0.0109601 0.00365577 0.0115538 0.0109601 0.0109601 0.00365577 0.00365577
6.88801 0.0111683 0.00334465 0.0116584 0.0111683 0.0111683 0.00334465 0.00334465
7.66602 0.0113407 0.00304686 0.0117429 0.0113407 0.0113407 0.00304686 0.00304686
8.53191 0.0114827 0.00277035 0.0118121 0.0114827 0.0114827 0.00277035 0.00277035
9.4956 0.0116021 0.00251005 0.0118705 0.0116021 0.0116021 0.00251005 0.00251005
10.5681 0.0116902 0.00227087 0.0119088 0.0116902 0.0116902 0.00227087 0.00227087
11.7618 0.0117712 0.00206096 0.0119502 0.0117712 0.0117712 0.00206096 0.00206096
13.0903 0.0118359 0.00186081 0.0119813 0.0118359 0.0118359 0.00186081 0.00186081
14.5689 0.0118964 0.0016743 0.0120137 0.0118964 0.0118964 0.0016743 0.0016743
16.2145 0.0119283 0.00151709 0.0120244 0.0119283 0.0119283 0.00151709 0.00151709
18.046 0.0119644 0.00136604 0.0120421 0.0119644 0.0119644 0.00136604 0.00136604
20.0843 0.0119871 0.00121539 0.0120486 0.0119871 0.0119871 0.00121539 0.00121539
22.3528 0.0120074 0.00110976 0.0120585 0.0120074 0.0120074 0.00110976 0.00110976
24.8776 0.0120369 0.000988998 0.0120775 0.0120369 0.0120369 0.000988998 0.000988998
27.6876 0.0120537 0.000906315 0.0120877 0.0120537 0.0120537 0.000906315 0.000906315
30.8149 0.0120531 0.000790236 0.012079 0.0120531 0.0120531 0.000790236 0.000790236
34.2955 0.0120917 0.000715504 0.0121128 0.0120917 0.0120917 0.000715504 0.000715504
